veld,waarde
seizoen,2026-2027
naam,Leuven Bears Academy
tagline,Alle spelers en ploegen behalve de A-ploeg
email,academy@leuvenbears.be
adres,Aarschotsesteenweg 163
postcode,3012
gemeente,Wilsele
btw,BE 431 400 471
zaal_naam,Stedelijke Sportzaal Wilsele Centrum
zaal_adres,"Aarschotsesteenweg 163, 3012 Wilsele"
website_a_ploeg,https://www.leuvenbears.be/
facebook,https://www.facebook.com/leuvenbearsjeugd/
instagram,https://www.instagram.com/leuvenbears_academy/
tickets_a_ploeg,https://leuvenbears.ordering.be/o/2
