lijst,waarde,label_nl
haarstijl,random,🎲 Random
haarstijl,short,Kort
haarstijl,spiky,Stekelig
haarstijl,bowl,Bowl / pony
haarstijl,side,Zijscheiding
haarstijl,curly,Krullen
haarstijl,fluffy,Pluizig
haarstijl,long,Lang
haarstijl,buzz,Buzz
haarstijl,afro,Afro
haarkleur,random,🎲 Random
haarkleur,blond-goud,Blond goud
haarkleur,blond-warm,Blond warm
haarkleur,blond-licht,Blond licht
haarkleur,platina,Platina
haarkleur,asblond,Asblond
haarkleur,bruin,Bruin
haarkleur,kastanje,Kastanje
haarkleur,donkerbruin,Donkerbruin
haarkleur,zwart,Zwart
haarkleur,roodbruin,Roodbruin
haarkleur,rood,Rood
haarkleur,grijs,Grijs
haarkleur,wit,Wit
huidskleur,random,🎲 Random
huidskleur,zeer-licht,Zeer licht
huidskleur,licht,Licht
huidskleur,warm-licht,Warm licht
huidskleur,warm-medium,Warm medium
huidskleur,medium,Medium
huidskleur,olijf,Olijf
huidskleur,goudbruin,Goudbruin
huidskleur,bruin,Bruin
huidskleur,diep-bruin,Diep bruin
huidskleur,donker,Donker
huidskleur,zeer-donker,Zeer donker
label,random,🎲 Random
label,Guard,Guard
label,Forward,Forward
label,Center,Center
accent,random,🎲 Random
accent,orange,Oranje
accent,bear,Bear grijs
accent,warm,Warm
move,random,🎲 Random
move,arm-roll,Arm-roll
move,finger-spin,Vingerspin
move,between-legs,Tussenbenen
move,behind-back,Achterlangs
move,crossover,Crossover
move,dunk,Dunk
move,rebound,Rebound
move,step-back,Step-back
move,waist-wrap,Taille-wrap
move,shoulder-roll,Schouder-roll
move,layup,Lay-up
move,behind-head,No-look
move,spin-move,Spin-move
thuis_uit,thuis,Thuis
thuis_uit,uit,Uit
status_match,upcoming,Gepland
status_match,played,Gespeeld
status_training,ja,Doorgaan
status_training,nee,Geannuleerd / geen training
zichtbaar,ja,Ja
zichtbaar,nee,Nee
dag,maandag,Maandag
dag,dinsdag,Dinsdag
dag,woensdag,Woensdag
dag,donderdag,Donderdag
dag,vrijdag,Vrijdag
dag,zaterdag,Zaterdag
dag,zondag,Zondag
emoji,random,🎲 Random (site kiest)
emoji,⚡,Bliksem
emoji,🐻,Beer
emoji,🏀,Basket
emoji,🙌,High five
emoji,⭐,Ster
emoji,💪,Kracht
emoji,🎯,Target
emoji,😎,Cool
emoji,✨,Sparkle
emoji,🛡️,Schild
emoji,👟,Sneaker
emoji,🏆,Trofee
emoji,🔥,Vuur
emoji,🚀,Raket
emoji,😄,Lachen
