stap,uitleg
1,"Welkom! Dit is de BEHEER-map van je ploeg. Alleen coaches en de ploegafgevaardigde vullen dit in."
2,"Begin met tab Ploeg (naam + zaal). Vul daarna Staff, Trainingen_week en Spelers."
3,"Spelers: vul ALLEEN nummer + voornaam in. De rest mag op 'random' blijven — de site kiest dan zelf een look."
4,"Matchen: typ hier GEEN competitiewedstrijden. Die komen automatisch van Basketbal Vlaanderen. Alleen oefenwedstrijden / extras."
5,"Trainingen_data: zet hier de concrete data (YYYY-MM-DD). Zo verschijnen ze op de kalender."
6,"Info: afspraken, tips en links voor ouders. Soort kiezen uit de lijst (afspraak, draai, tip, link, stage)."
7,"Evenementen: tornooien en stages. Zet zichtbaar=ja om ze op de site te tonen."
8,"Keuzelijsten: niet manueel aanpassen tenzij je nieuwe dropdown-opties wilt."
9,"Deel deze map NIET publiek met alle ouders. Ouders krijgen de aparte Aanwezigheid-map."
10,"Twijfel? Laat een cel leeg of zet 'random'. Liever te weinig dan verkeerde info verzinnen."
