veld,waarde
slug,u10-c
naam,U10 C
categorie,U10
seizoen,2026-2027
home_blurb,"Jeugdbasket van de Leuven Bears: dribbels, dunk-dromen en high-fives. #WEBEARS — ouders juichen, kids scoren (of bijna)."
tagline,"#WEBEARS · Klein van stuk, groot van hart 🐻🏀"
home_highlight_titel,Volgende match
home_highlight_tekst,
publiek_zichtbaar,ja
externe_site,https://www.leuvenbears-u10c.be/
zaal_thuis,Campus Redingenhof
zaal_adres,"Remi Vandervaerenlaan, 3000 Leuven"
contact_email,secretariaat@leuvenbears.be
vbl_kalender_url,https://vblcal.wisseq.eu/vblcalsync/calsync.aspx?guid=BVBL1125G10003
aanwezigheid_sheet_url,https://docs.google.com/spreadsheets/d/1nL3LnDroXfrfj4oq4a12edCDV-ZVAtjLO2_XyxMo-1w/edit
