datum,status,start,einde,locatie,notitie
2026-08-24,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-08-27,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-08-31,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-09-03,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-09-07,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-09-10,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-09-14,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-09-17,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-09-21,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-09-24,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-09-28,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-10-01,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-10-05,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-10-08,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-10-12,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-10-15,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-10-19,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-10-22,ja,17:30,19:00,Campus Redingenhof (Leuven),
2026-10-26,ja,17:30,19:00,Heilig-Hart Heverlee,
2026-10-29,ja,17:30,19:00,Campus Redingenhof (Leuven),
